,month,maximum_rainfall_in_a_day,no_of_rainy_days,total_rainfall,mean_rh,mean_sunshine_hrs,mean_temp,wet_bulb_temperature,date,year,specialist outpatient clinics,accident & emergency departments,polyclinics
0,1,127.4,16,568.6,86.0,4.0,25.5,23.70255376344086,1987-01-01,1987,98721,37771,240542
1,2,34.8,7,86.9,79.0,9.2,26.6,23.781994047619047,1987-02-01,1987,105174,34188,254215
2,3,40.9,12,132.5,83.2,6.9,27.5,25.19475806451613,1987-03-01,1987,114172,36113,262136
3,4,27.7,10,72.5,82.8,6.2,27.9,25.573194444444443,1987-04-01,1987,114022,34127,245888
4,5,81.4,16,270.0,84.6,5.6,27.6,25.55766129032258,1987-05-01,1987,101491,35922,219142
5,6,30.7,15,126.6,80.7,6.8,28.7,26.001527777777778,1987-06-01,1987,117786,33988,239664
6,7,21.6,11,80.9,81.3,6.7,28.1,25.54018817204301,1987-07-01,1987,124077,35554,251215
7,8,48.2,16,191.9,83.6,5.1,27.4,25.20483870967742,1987-08-01,1987,105987,39126,243154
8,9,44.5,11,129.9,82.5,5.4,27.6,25.210277777777776,1987-09-01,1987,115306,35360,245706
9,10,5.9,9,22.6,82.1,5.8,27.9,25.403897849462368,1987-10-01,1987,115514,37763,256216
10,11,77.7,17,347.6,84.0,4.5,27.3,25.09986111111111,1987-11-01,1987,112335,38085,251897
11,12,24.3,11,72.8,84.6,4.8,26.4,24.40981182795699,1987-12-01,1987,115127,38663,261222
12,1,69.0,15,237.5,84.3,5.9,26.8,24.706989247311828,1988-01-01,1988,114777,39089,238097
13,2,46.7,9,158.1,83.2,6.7,27.1,24.875287356321838,1988-02-01,1988,103465,40199,221929
14,3,70.1,15,186.8,85.3,5.2,27.3,25.286827956989246,1988-03-01,1988,123148,41375,266283
15,4,22.8,13,109.6,84.5,5.4,27.8,25.7025,1988-04-01,1988,115979,41136,248306
16,5,76.7,14,229.6,82.7,5.6,28.4,26.008467741935487,1988-05-01,1988,109297,42209,223333
17,6,69.4,13,252.2,81.6,6.5,28.0,25.459305555555556,1988-06-01,1988,121781,37870,248341
18,7,75.6,15,305.4,84.0,6.0,27.3,25.204435483870967,1988-07-01,1988,115938,40639,241924
19,8,19.0,14,80.1,84.9,4.9,27.0,25.00215053763441,1988-08-01,1988,124388,40830,256665
20,9,187.3,14,440.4,84.5,4.8,27.1,25.00472222222222,1988-09-01,1988,121138,40714,253049
21,10,39.8,17,134.6,83.2,4.1,27.5,25.170295698924733,1988-10-01,1988,116897,41664,244846
22,11,111.9,23,401.4,86.8,3.7,26.3,24.58527777777778,1988-11-01,1988,111361,38142,250500
23,12,22.0,11,62.9,81.1,5.7,26.2,23.718413978494624,1988-12-01,1988,108181,41895,270762
24,1,53.0,10,189.7,84.1,5.8,26.5,24.39704301075269,1989-01-01,1989,112402,42481,243908
25,2,48.4,3,52.4,78.3,6.7,26.6,23.703869047619047,1989-02-01,1989,94190,41588,219215
26,3,63.5,21,305.9,87.6,4.5,26.3,24.72204301075269,1989-03-01,1989,117848,42969,255394
27,4,39.0,17,198.6,86.4,5.7,27.0,25.190555555555555,1989-04-01,1989,102533,40887,237782
28,5,38.2,12,194.0,86.6,5.2,27.3,25.475537634408603,1989-05-01,1989,107991,46003,245225
29,6,45.9,12,117.6,83.3,6.0,27.5,25.19611111111111,1989-06-01,1989,113888,44277,265613
30,7,33.3,12,157.6,82.6,6.0,27.7,25.386559139784946,1989-07-01,1989,112002,44955,244639
