Data Series,Acute Hospitals Admissions,  Public,  Non-Public,Psychiatric Hospitals Admissions,  Public,  Non-Public,Community Hospitals Admissions,  Public,  Non-Public,Specialist Outpatient Clinics,Accident & Emergency Departments,Polyclinics,Dental Clinics,Day Surgeries
2023 Dec ,52665,43130,9535,824,824,0,1869,1088,781,383675,86120,584319,49978,32028
2023 Nov ,51529,41654,9875,846,846,0,1732,998,734,447596,82471,587731,67103,35929
2023 Oct ,53673,43600,10073,932,932,0,1819,1038,781,473070,88192,602564,80229,39811
2023 Sep ,51361,41784,9577,871,871,0,1667,952,715,430093,86349,560762,76365,36645
2023 Aug ,54196,44184,10012,910,910,0,1854,1066,788,491787,89478,610026,92590,40446
2023 Jul ,52059,42182,9877,890,890,0,1700,972,728,459040,89210,588195,88142,37802
2023 Jun ,49475,40162,9313,790,790,0,1804,1024,780,416931,80329,543008,56309,34810
2023 May ,53032,43322,9710,869,869,0,1982,1185,797,472322,89988,602607,83845,38387
2023 Apr ,50967,41668,9299,793,793,0,1833,1131,702,411425,90190,524646,77274,33566
2023 Mar ,54567,44504,10063,833,833,0,1969,1135,834,482990,95898,614981,90875,39657
2023 Feb ,48598,39503,9095,753,753,0,1452,805,647,438850,84806,557231,89490,35734
2023 Jan ,47985,39035,8950,726,726,0,1602,878,724,427038,87325,519971,81523,31802
2022 Dec ,50291,40993,9298,751,751,0,1902,1072,830,406056,83548,568932,54360,31890
2022 Nov ,50056,40632,9424,757,757,0,1822,1089,733,465420,81226,581319,73275,36492
2022 Oct ,51422,41826,9596,785,785,0,2194,1433,761,416911,91987,553192,70948,32718
2022 Sep ,51282,41449,9833,766,766,0,1723,977,746,460564,86660,575688,82211,36149
2022 Aug ,51514,41922,9592,824,824,0,1918,1200,718,452536,89627,587814,92526,35625
2022 Jul ,52635,42808,9827,832,832,0,2178,1488,690,432363,96609,553484,82939,34077
2022 Jun ,51174,41574,9600,760,760,0,1769,1034,735,454293,87121,574439,61969,36808
2022 May ,49357,39817,9540,792,792,0,1651,1008,643,418686,89962,516978,71191,33301
2022 Apr ,48020,38853,9167,838,838,0,1978,1168,810,438545,75128,520553,84430,35118
2022 Mar ,51540,41532,10008,855,855,0,2786,1849,937,450249,79841,573038,84467,34798
2022 Feb ,43592,35360,8232,634,634,0,2048,1458,590,369299,80685,477279,70592,27679
2022 Jan ,48013,38957,9056,746,746,0,1709,971,738,455622,80629,527577,85967,33272
2021 Dec ,47296,38111,9185,678,678,0,1619,957,662,436375,70106,548534,60148,32471
2021 Nov ,46991,37787,9204,630,630,0,2106,1370,736,433965,71275,519148,75542,32474
2021 Oct ,47280,37675,9605,694,694,0,2288,1548,740,402821,71558,498174,74442,30485
2021 Sep ,49296,39735,9561,695,695,0,1885,1218,667,449154,72225,526768,81262,34420
2021 Aug ,47057,38034,9023,647,647,0,1724,1025,699,461350,75757,522139,85437,34815
2021 Jul ,49684,40081,9603,689,689,0,1687,1018,669,456655,79021,537257,63576,34484
2021 Jun ,44521,35829,8692,666,666,0,1516,865,651,417150,66857,515889,50652,33035
2021 May ,43564,34090,9474,630,630,0,1752,1080,672,320632,69157,427460,56314,25113
2021 Apr ,49411,39387,10024,781,781,0,1768,1096,672,463916,82267,527487,98293,36048
2021 Mar ,51463,40623,10840,791,791,0,1711,1014,697,513912,82783,581035,100280,39917
2021 Feb ,43339,34146,9193,668,668,0,1577,926,651,403217,72275,465781,86027,29367
2021 Jan ,46888,37429,9459,657,657,0,1574,882,692,459379,76872,531038,94053,34218
2020 Dec ,50077,39161,10916,757,757,0,1659,912,747,450783,74360,529328,55891,33262
2020 Nov ,46303,36696,9607,665,665,0,1512,819,693,457700,71001,500266,74465,34649
2020 Oct ,49772,39528,10244,740,740,0,1650,933,717,469204,73306,548857,83670,35436
2020 Sep ,46670,37262,9408,763,763,0,1553,794,759,461158,71255,543203,80135,33755
2020 Aug ,46798,37528,9270,640,640,0,1810,1007,803,417996,74155,529573,64523,29299
2020 Jul ,48292,38614,9678,730,730,0,1837,968,869,413647,72664,547490,53779,27796
2020 Jun ,43796,34955,8841,713,713,0,1809,1017,792,324034,67607,505714,34812,20815
2020 May ,43315,35542,7773,476,476,0,2086,1041,1045,187756,63029,372042,8157,10393
2020 Apr ,41587,34439,7148,703,703,0,1939,1014,925,221367,69889,373236,19635,13730
2020 Mar ,44381,35531,8850,710,710,0,1605,850,755,332189,88247,500678,60299,23426
2020 Feb ,43059,33880,9179,732,732,0,1635,872,763,306789,79237,490437,67207,21638
2020 Jan ,52461,41727,10734,797,797,0,1757,946,811,436025,98611,551852,99351,29284
2019 Dec ,53172,41909,11263,777,777,0,1781,943,838,403128,96098,536227,57586,28555
2019 Nov ,52809,41316,11493,786,786,0,1682,858,824,445401,88720,564421,74011,31885
2019 Oct ,52660,41375,11285,789,789,0,1726,873,853,464595,88928,571812,84173,34110
2019 Sep ,50206,38986,11220,764,764,0,1651,849,802,436987,85040,536578,86970,32181
2019 Aug ,52109,40814,11295,815,815,0,1729,898,831,439911,90698,552486,96923,31225
2019 Jul ,54993,43025,11968,767,767,0,1780,915,865,501648,98385,627174,111689,36206
2019 Jun ,50277,39314,10963,715,715,0,1601,811,790,389316,89350,528547,60432,27821
2019 May ,52784,41298,11486,783,783,0,1696,879,817,454249,92618,594199,92400,32111
2019 Apr ,50579,39765,10814,847,847,0,1676,822,854,457373,88534,578277,104342,32236
2019 Mar ,52662,40859,11803,801,801,0,1769,890,879,438677,89670,558840,96062,31694
2019 Feb ,44482,35050,9432,674,674,0,1343,687,656,369739,82072,464045,90480,25554
2019 Jan ,51403,40228,11175,716,716,0,1609,790,819,484944,90869,578689,115740,32558
2018 Dec ,50448,39704,10744,714,714,0,1571,776,795,372077,91303,513981,57506,25270
2018 Nov ,50312,39293,11019,787,787,0,1482,696,786,427439,85384,539107,76946,29384
2018 Oct ,50740,39692,11048,770,770,0,1582,782,800,469400,85043,570757,90306,33412
