month,maximum_rainfall_in_a_day,no_of_rainy_days,total_rainfall,mean_rh,mean_sunshine_hrs,mean_temp,wet_bulb_temperature,date,year
1,36.5,10,107.1,81.2,5.6,25.9,23.456048387096775,1982-01-01,1982
2,9.4,5,27.8,79.5,7.6,27.1,24.297619047619047,1982-02-01,1982
3,61.7,11,160.8,82.3,5.1,27.2,24.811559139784944,1982-03-01,1982
4,45.1,14,157.0,85.9,4.7,27.0,25.103749999999998,1982-04-01,1982
5,33.0,10,102.2,83.2,5.8,28.0,25.68965053763441,1982-05-01,1982
6,20.6,8,59.5,80.3,7.3,28.4,25.72930555555556,1982-06-01,1982
7,17.2,8,76.3,77.6,7.6,28.2,25.10725806451613,1982-07-01,1982
8,57.7,11,169.5,80.4,5.4,27.7,25.02755376344086,1982-08-01,1982
9,18.0,9,54.1,80.6,5.2,27.9,25.243055555555554,1982-09-01,1982
10,10.0,10,39.3,81.5,5.6,27.4,24.900672043010754,1982-10-01,1982
11,39.6,13,134.0,83.4,5.8,27.3,25.06888888888889,1982-11-01,1982
12,109.0,21,494.1,87.7,3.3,26.2,24.621639784946236,1982-12-01,1982
1,43.2,18,246.0,85.6,4.3,26.5,24.55497311827957,1983-01-01,1983
2,5.1,2,5.6,78.0,9.3,28.1,24.97440476190476,1983-02-01,1983
3,18.3,2,18.6,76.0,8.9,28.9,25.43924731182796,1983-03-01,1983
4,21.3,4,33.6,77.2,6.6,29.4,26.09347222222222,1983-04-01,1983
5,32.3,11,160.8,83.2,5.9,28.3,25.956854838709678,1983-05-01,1983
6,27.7,11,94.0,82.4,5.9,28.3,25.8725,1983-06-01,1983
7,55.5,18,190.0,83.7,5.4,27.6,25.422043010752688,1983-07-01,1983
8,181.8,10,262.2,81.2,6.3,28.1,25.54959677419355,1983-08-01,1983
9,50.3,18,170.8,84.4,3.8,27.2,25.137222222222224,1983-09-01,1983
10,40.0,17,212.7,82.5,5.2,27.6,25.239247311827956,1983-10-01,1983
11,54.8,18,228.8,85.2,3.2,26.6,24.68763888888889,1983-11-01,1983
12,164.4,16,370.6,88.0,2.7,25.4,23.88252688172043,1983-12-01,1983
1,62.3,18,251.2,85.8,4.1,25.5,23.66787634408602,1984-01-01,1984
2,154.4,19,470.4,86.0,4.1,25.8,24.00991379310345,1984-02-01,1984
3,119.4,19,361.3,85.4,5.3,26.5,24.600268817204302,1984-03-01,1984
