,date,specialist outpatient clinics,accident & emergency departments,polyclinics
0,2023-12-01,383675,86120,584319
1,2023-11-01,447596,82471,587731
2,2023-10-01,473070,88192,602564
3,2023-09-01,430093,86349,560762
4,2023-08-01,491787,89478,610026
5,2023-07-01,459040,89210,588195
6,2023-06-01,416931,80329,543008
7,2023-05-01,472322,89988,602607
8,2023-04-01,411425,90190,524646
9,2023-03-01,482990,95898,614981
10,2023-02-01,438850,84806,557231
11,2023-01-01,427038,87325,519971
12,2022-12-01,406056,83548,568932
13,2022-11-01,465420,81226,581319
14,2022-10-01,416911,91987,553192
15,2022-09-01,460564,86660,575688
16,2022-08-01,452536,89627,587814
17,2022-07-01,432363,96609,553484
18,2022-06-01,454293,87121,574439
19,2022-05-01,418686,89962,516978
20,2022-04-01,438545,75128,520553
21,2022-03-01,450249,79841,573038
22,2022-02-01,369299,80685,477279
23,2022-01-01,455622,80629,527577
24,2021-12-01,436375,70106,548534
25,2021-11-01,433965,71275,519148
26,2021-10-01,402821,71558,498174
27,2021-09-01,449154,72225,526768
28,2021-08-01,461350,75757,522139
29,2021-07-01,456655,79021,537257
30,2021-06-01,417150,66857,515889
31,2021-05-01,320632,69157,427460
32,2021-04-01,463916,82267,527487
33,2021-03-01,513912,82783,581035
34,2021-02-01,403217,72275,465781
35,2021-01-01,459379,76872,531038
36,2020-12-01,450783,74360,529328
37,2020-11-01,457700,71001,500266
38,2020-10-01,469204,73306,548857
39,2020-09-01,461158,71255,543203
40,2020-08-01,417996,74155,529573
41,2020-07-01,413647,72664,547490
42,2020-06-01,324034,67607,505714
43,2020-05-01,187756,63029,372042
44,2020-04-01,221367,69889,373236
45,2020-03-01,332189,88247,500678
46,2020-02-01,306789,79237,490437
47,2020-01-01,436025,98611,551852
48,2019-12-01,403128,96098,536227
49,2019-11-01,445401,88720,564421
50,2019-10-01,464595,88928,571812
51,2019-09-01,436987,85040,536578
52,2019-08-01,439911,90698,552486
53,2019-07-01,501648,98385,627174
54,2019-06-01,389316,89350,528547
55,2019-05-01,454249,92618,594199
56,2019-04-01,457373,88534,578277
57,2019-03-01,438677,89670,558840
58,2019-02-01,369739,82072,464045
59,2019-01-01,484944,90869,578689
60,2018-12-01,372077,91303,513981
61,2018-11-01,427439,85384,539107
62,2018-10-01,469400,85043,570757
63,2018-09-01,405620,79829,509057
64,2018-08-01,440044,82519,536760
65,2018-07-01,454152,86044,561882
66,2018-06-01,400151,78521,492052
67,2018-05-01,437221,84834,534867
68,2018-04-01,435136,81997,529243
69,2018-03-01,430707,83943,534902
70,2018-02-01,372175,77749,452081
71,2018-01-01,461966,88237,549125
72,2017-12-01,376515,79596,478256
73,2017-11-01,439655,78327,509702
74,2017-10-01,419176,82793,501308
75,2017-09-01,398141,77268,482951
76,2017-08-01,449400,81977,522699
77,2017-07-01,426819,84964,507901
78,2017-06-01,406009,81552,478843
79,2017-05-01,429839,90987,517837
80,2017-04-01,389625,84124,472734
81,2017-03-01,449486,87191,536613
82,2017-02-01,400818,79354,478108
83,2017-01-01,388260,85325,438835
84,2016-12-01,391268,80045,435294
85,2016-11-01,434280,79320,451631
86,2016-10-01,414329,82339,428708
87,2016-09-01,410259,81809,430934
88,2016-08-01,442534,87475,468604
89,2016-07-01,394274,87482,443474
90,2016-06-01,420403,80906,442582
91,2016-05-01,415697,85931,434117
92,2016-04-01,417248,80777,442411
93,2016-03-01,438412,87290,461900
94,2016-02-01,369372,85822,399914
95,2016-01-01,406426,89522,424430
96,2015-12-01,384194,81921,418843
97,2015-11-01,378057,77552,397986
98,2015-10-01,415116,78941,429056
99,2015-09-01,387870,75508,397460
100,2015-08-01,377630,82665,395185
101,2015-07-01,423464,80360,421428
102,2015-06-01,385033,83377,404895
103,2015-05-01,384116,86075,411033
104,2015-04-01,404565,80262,410379
105,2015-03-01,417597,81518,426242
106,2015-02-01,330568,73842,342720
107,2015-01-01,411376,83405,419470
108,2014-12-01,365090,77585,387405
109,2014-11-01,368520,73271,374831
110,2014-10-01,383294,77547,382766
111,2014-09-01,393154,79164,401230
112,2014-08-01,377812,83610,391312
113,2014-07-01,401570,86028,402717
114,2014-06-01,369546,85017,382967
115,2014-05-01,367804,86058,391893
116,2014-04-01,387205,79418,390044
117,2014-03-01,378761,80301,394255
118,2014-02-01,361161,75725,365321
119,2014-01-01,376933,84647,383633
120,2013-12-01,339398,84118,374171
121,2013-11-01,367696,80234,382510
122,2013-10-01,387258,84025,401660
123,2013-09-01,364398,81096,379066
124,2013-08-01,364591,82464,384543
125,2013-07-01,406349,82318,417848
126,2013-06-01,343011,85095,365625
127,2013-05-01,380860,87961,393171
128,2013-04-01,397003,84560,403893
129,2013-03-01,363039,86940,379362
130,2013-02-01,318045,79359,323128
131,2013-01-01,404973,88630,418646
132,2012-12-01,315496,83859,361916
133,2012-11-01,366564,79286,379299
134,2012-10-01,383690,83611,401835
135,2012-09-01,344733,80201,371726
136,2012-08-01,369311,79335,380258
137,2012-07-01,392755,83852,408890
138,2012-06-01,357073,77964,381201
139,2012-05-01,379056,85167,398658
