content,label
"1) Cannot pre-order because shop not open yet. 2) Cannot pre-order because delivery not available now. 3) Please continue this funny things, so I can 4ever rate one star.",1
2 tablespoons...a tablespoon of gravy..,1
Ala Kadar food is only cooked. Not as usual.,1
"always contactless delivery, very convenient",1
"As a delivery application grab is terrible, in most cases couriers won't accept an order, so you stuck for 10 minutes unable to cancel it. And what's the point of priority/normal/safe delivery plans, if couriers only accept the most expensive one - priority? Have developers ever looked to other delivery apps like Wolt? It feels like I'm back to 2010",0
"Bad service, bad drivers wasting and take their own sweet time driving. No inform when reach. Sometimes last min alr go off with inform. No inform when needed for some issues",1
Be aware that this app allowed merchants to amend your order without the merchants notifying you. Often we don't have time to reorder food due to lunch break etc and only find out about the missing items during delivery,1
"Been waiting nearly for 50 minutes for them to find a driver. Can't cancel, can't call anyone. You are at the mercy of this app. grab taxi and crab mart seems to work well. But this is the last time I'm using grabfood.",1
"Cannot access the grab menu remotely. I once shopped long distances for family outside the city, with the nearest supermarket to my family's house. My position is indeed outside the reach of grab. Now it's no longer possible, the grab menu disappears if the current location has no service. Please upgrade please...",1
"Can't cancel order, the shop in the application and the original are not in sync, the application is available but the original is closed/no longer available",1
"Can't change driver. I ordered grabfood at 11.40, until 3 o'clock I called and chat didn't respond. I have also reported this issue but it takes a long time to respond, unlike Gofood where the response is fast. and until 4 (now) o'clock my food still wasn't picked up.",1
Can't even cancel my food order right after ordering wrongly 🥲🥲,1
"complete orders,,on time delivery,yummy foods,thank you ☺️",1
Dear grab! Thankyou for providing us a really reliable app. I especially prefered to use grabfood for my delivered meals. But I would be glad if you could provide us Halal/pork derivatives filter in the app so I could easily pick a restaurant that is suitable for my diet. Thank you!,1
"Delivery on time, very efficient..",1
Double charged me 2 times. I haven't ordered in the app for 2 days and they charged me for the food I did not order. I already contacted customer's support but they don't have any response. Please give me back my money.,1
driver ingnored me for hours,1
"Easy to use, and the drivers are friendly and are quick to deliver",1
"Edit 3 - It's now 2024 and the app is worse than ever and rapidly getting worse. Utterly broken app that wastes so much of our time and allows drivers to get away with anything. Edit - even more broken now in 2022, the app now says the order has been 'delivered' the second the driver picks it up, meaning you are even more screwed than before if a problem comes up. Edit - In 2023 even worse than before. The executives of grab are utterly incompetent and parasitic, even by Vietnamese standards.",1
everything is delicious,1
everything was good. food is still hot and tasty,1
"Exceptional apps, but if I may wish to request, can grabfood be shared for tracking? Sometimes I order it for someone else, so I can check the location of the driver.",1
fast delivery,1
fast delivery,1
Fast Delivery and the delivery people are very good.,1
Fast delivery 🚚,1
fast order,1
Fine delivery and transportation but I hope you never have an issue because the help centre is difficult to navigate and runs you in circles unable to actually file a complaint should you have one,1
Food prices are the most expensive and promotions are rare... I don't think it's recommended,1
friendly rider and very polite.,1
"From being the first market leader in this business, now it is lagging behind a lot. Ordering the standard model is not economical. Still waiting for delivery for almost an hour. If it was economical, I'd probably order today and eat tomorrow. The price is more expensive than other apps. There aren't many codes. You can order shopee food now before you eat 🙄",1
"Full force app but most of the thing is not really functioning. One of the good example is some of the food vendor is operating on the app but actually is closing. The rider is wasting their time & effort to go to the 'closing' vendor. As for consumer side; wasting time, money & energy by hoping to get the food on schedule time. Even we can get the refund but it is still need some more time & effort, or else there will be nothing.",1
Getting an error when placing an order 🥴🤬😡,1
good and not expensive foods,1
Good apps and may promotion for the grabfood,1
Good fast delivery,1
Good for delivering food,1
good point when you lazy to working up the kitchen lol 👍,1
good service po dn quick delivery,1
"grabfood algorithm is the worst I've ever used. For every 1 column, it kept on showing me 5 food I've ordered before. ""Deals around me"", shows 1 ad, and another 8 food I've ordered before. Search for ""pizza"", shows 1 pizza, and another 5 food I've ordered before. Then what's the point for having a secrion of your order history? Might as well be the entire page. Imagine using google, for every 1 search result it shows you 10 more links you've visited, that's how moronic grab algorithm is.",1
"grabfood app not optimized, consolidate multiple customer food orders deliver by a driver, causing delayed and changing ETA. Originally took 1 hour 15 mins as quoted but end up the food was delivered in 1 hour 45 mins. Went to customer service support to complain but chat was closed. grab app also keep direct to AI driven options which is not useful. Looking for refund or cancellation of orders or compensation. Delayed in food delivery by 30 mins is not acceptable.",1
grabfood prices are expensive compared to the store,1
grabfood rider asking for additional fee to file a report need to much info you can just ask for a evidence like our sms screenshot chat it will show our communication. Previous I already talk to your help line. As per chat they will give refund but no refund received Issue double charging of unli delivery subscription and worst my subscription not working meaning not free delivery of 49 pesos . Also the customer service ended our chat even were not finished Until now no refunds,1
"grab has so many scam delivery drivers. they would charge me for extra fees for their fake accidents. its been 3 days, those people are never seen and contacted again. please track your delivery drivers to prevent this",1
